,품목,단위,가격,이름,주소,구,위도,경도
129,"오징어(생물,국산)",1마리,4400.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,0.0
130,"고등어(생물,국산)",1마리,3490.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,127.0228252
131,사과(부사),1개,1163.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
132,"배(신고, 600g)",1개,2950.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
133,배추,1포기,7480.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,0.0
134,무,1개,2480.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
135,양파(1.5kg망),1망,4980.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
136,상추(100g),100g,1090.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
137,오이(중간),1개,1396.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
138,호박(인큐베이터),1개,1380.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
139,쇠고기(한우1등급),100g,9080.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
140,돼지고기(삼겹살),100g,2800.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
141,닭고기,1마리,9680.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
142,달걀(10개),10개,4180.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
143,달걀(30개),30개,6580.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
144,"조기(국산,냉동)",1마리,2880.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
145,"명태(냉동,수입산)",1마리,4980.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
146,"오징어(냉동,국산)",1마리,2980.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
147,"고등어(냉동,국산)",1마리,4980.0,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17,성동구,37.5612222,127.0371358
148,"사과(부사, 300g)",1개,1600.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
149,"배(신고, 600g)",1개,2950.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
150,배추(2.5~3kg),1포기,7480.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
151,무(1kg),1개,3100.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
152,양파,1.5kg,4150.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
153,상추(100g),100g,1740.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
154,오이,1개,920.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
155,애호박,1개,990.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
156,"쇠고기(한우,불고기)",100g,5880.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
157,돼지고기(생삼겹살),100g,5380.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
158,닭고기(육계),1kg.1마리,8980.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
159,달걀(10개),10개,3980.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
160,달걀(30개),30개,6480.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
161,"조기(냉동,수입산)",30cm.1마리,7980.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
162,"명태(냉동,수입산)",25cm.1마리,5980.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
163,"오징어(생물,국산)",25cm.1마리,5280.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
164,"고등어(냉동,수입산)",25cm.1마리,2990.0,이마트 자양점,서울특별시 광진구 아차산로 272,광진구,37.538418,127.07323878135787
165,사과,1개(305g),1790.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
166,배,1개(560g),4000.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
167,배추(2.5~3kg),2.5kg,12159.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
168,무(1kg),1kg,2238.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
169,양파(1.5kg망),1.5kg,4584.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
170,상추(100g),100g,1041.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
171,오이,1개,1590.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
172,애호박,1개,1590.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
173,"쇠고기(한우,불고기)",100g,6400.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
174,돼지고기(생삼겹살),100g,3990.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
175,닭고기(육계),1마리(1kg),8490.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
176,달걀(30개),30개(특란),7490.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
177,"조기(냉동,수입산)",1마리(257g),3990.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
178,"명태(생물,수입산)",1마리(677g),3000.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
179,"오징어(생물,국산)",1마리(344g),6850.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
180,고등어,자반(244g)1마리,2600.0,홈플러스 동대문점,서울특별시 동대문구 천호대로 133,동대문구,37.5744199,127.0257949
181,"사과(부사, 300g)",1개(400g),1798.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
182,"배(신고, 600g)",1개(550g),3200.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
183,배추(2.5~3kg),1포기(2.5kg),6780.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
184,무(1kg),1kg,2480.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
185,양파(1.5kg망),1.5kg,4150.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
186,오이(다다기),1개(100g),1196.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
187,상추(100g),100g,1740.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
188,호박,1개(200g),1780.0,이마트 상봉점,서울특별시 중랑구 망우동 상봉로 118,중랑구,37.5981369,127.0928736
