,STN_NM,위도,경도,주소
3023,북부수도사업소,37.63489016891122,127.03520865670222,"1125경동시장, 한천로, 번1동, 강북구, 서울, 01067, 대한민국"
3024,화계사입구,37.633381634217,127.01757180470292,"화계사입구, 삼양로, 수유1동, 강북구, 서울, 01100, 대한민국"
3025,화계사입구,37.63352502820997,127.01767060870012,"수유1동성당, 삼양로, 수유1동, 강북구, 서울, 01100, 대한민국"
3026,빨래골입구,37.6298648038135,127.01791507260312,"빨래골입구, 삼양로, 수유동, 강북구, 서울, 01121, 대한민국"
3027,빨래골입구,37.62995831831108,127.01802174199962,"빨래골입구, 삼양로, 수유동, 강북구, 서울, 01121, 대한민국"
3028,롯데마트삼양점.래미안1차아파트,37.625297745010656,127.01826254530222,"삼양시장국민은행삼양동지점, 삼양로, 삼양동, 강북구, 서울, 01121, 대한민국"
3029,롯데마트삼양점.래미안1차아파트,37.62529320680936,127.0183741640015,"삼양시장국민은행삼양동지점, 삼양로, 삼양동, 강북구, 서울, 01121, 대한민국"
3030,삼양초등학교,37.62327372601094,127.01896642740492,"삼양초등학교, 삼양로, 송천동, 강북구, 서울, 01121, 대한민국"
3031,삼양초등학교,37.62332873501464,127.01904031899984,"삼양초등학교, 삼양로, 송천동, 강북구, 서울, 01121, 대한민국"
3032,강북청소년문화정보도서관입구,37.621654035308985,127.0202823812998,"미아8동사무소입구, 삼양로, 삼양동, 강북구, 서울, 01194, 대한민국"
3033,강북청소년문화정보도서관입구,37.6207116690156,127.0206948844046,"삼양사거리역 1번 출구, 삼양로, 송천동, 강북구, 서울, 01121, 대한민국"
3034,삼양동사거리,37.61810553670969,127.021400801496,"행전빌딩, 161, 삼양로, 송천동, 강북구, 서울, 01195, 대한민국"
3035,삼양동사거리,37.61851850081239,127.02137208390172,"삼양동사거리, 삼양로, 송천동, 강북구, 서울, 01201, 대한민국"
3036,송천초등학교.미아뉴타운입구,37.61545811111232,127.02209415889553,"105, 삼양로19길, 삼각산동, 강북구, 서울, 01120, 대한민국"
3037,송천초등학교.미아뉴타운입구,37.61410145701287,127.02220379449469,"송천초등학교미아동삼각산아이원입구, 삼양로, 송천동, 강북구, 서울, 01120, 대한민국"
3038,삼양동사거리,37.61925770371033,127.02181604710378,"삼양동사거리, 솔샘로, 송천동, 강북구, 서울, 01179, 대한민국"
3039,삼양동사거리,37.619130225508826,127.02192898810397,"광희빌딩, 266, 솔샘로, 송천동, 강북구, 서울, 01201, 대한민국"
3040,성암국제무역고등학교,37.61816430801257,127.02525097180488,"성암여상입구, 솔샘로, 송천동, 강북구, 서울, 01179, 대한민국"
3041,성암국제무역고등학교,37.61802053450892,127.02556853709488,"성암여상입구, 솔샘로, 송천동, 강북구, 서울, 01179, 대한민국"
3042,삼양동사거리입구,37.61717198611631,127.02854238360052,"삼양동사거리입구, 솔샘로, 송천동, 강북구, 서울, 01179, 대한민국"
3043,삼양동사거리입구,37.61710063141638,127.02876710629867,"삼양동사거리입구, 솔샘로, 송천동, 강북구, 서울, 01179, 대한민국"
3044,강북보건소,37.63217335931407,127.03928854600096,"강북보건소, 한천로, 번2동, 강북구, 서울, 01224, 대한민국"
3045,신창교,37.63327341940834,127.03855094599544,"신창교, 한천로, 번2동, 강북구, 서울, 01067, 대한민국"
3046,강북보건소,37.63220800771271,127.0392592948052,"강북보건소, 한천로, 번2동, 강북구, 서울, 01224, 대한민국"
3047,강북보건소,37.63247982561252,127.03922193469778,"우이천변 제방길(가을단풍길,벚꽃길), 번동, 강북구, 서울, 01873, 대한민국"
3048,번동주공4단지,37.631499020213504,127.04010982829452,"번동주공4단지, 한천로, 번2동, 강북구, 서울, 01224, 대한민국"
3049,초안교,37.63108590661155,127.04106617000126,"우이천변 제방길(가을단풍길,벚꽃길), 번동, 강북구, 서울, 01873, 대한민국"
3050,번동주공3단지,37.629083377312455,127.04354782160333,"번동주공3단지, 한천로, 번3동, 강북구, 서울, 01224, 대한민국"
3051,번동주공3단지,37.62859594811383,127.0443537610949,"번동주공3단지, 한천로, 번3동, 강북구, 서울, 01224, 대한민국"
3052,번동주공1단지,37.625550067616,127.04820172250471,"108, 한천로, 번동, 강북구, 서울, 01883, 대한민국"
3053,번동주공1단지,37.62698181201285,127.04713292840378,"번동주공1단지, 한천로, 번3동, 강북구, 서울, 01224, 대한민국"
3054,오현초등학교,37.62332069731512,127.0481201396956,"오현초등학교, 월계로, 번동, 강북구, 서울, 01883, 대한민국"
3055,북서울꿈의숲,37.6191103475111,127.04435170300404,"북서울꿈의숲, 월계로, 번동, 강북구, 서울, 02744, 대한민국"
3056,송중동한일유엔아이,37.61368247821522,127.0380710763954,"동방주유소앞, 월계로, 장위1동, 성북구, 서울, 02744, 대한민국"
3057,창문여고앞,37.61214983991533,127.03608017560202,"창문여중여고, 월계로, 송중동, 강북구, 서울, 02741, 대한민국"
3058,숭곡초등학교입구,37.61006595441313,127.03216331110552,"숭곡초교입구, 월계로, 월곡1동, 성북구, 서울, 02733, 대한민국"
3059,강북청소년수련관,37.64570796061082,127.00689311300036,"강북청소년수련관난나, 4.19로, 우이동, 강북구, 서울, 01021, 대한민국"
3060,강북청소년수련관,37.645761855315214,127.00678891819476,"강북청소년수련관난나, 4.19로, 우이동, 강북구, 서울, 01021, 대한민국"
3061,국립4.19민주묘지,37.646802912110495,127.00896908779744,"국립419묘지, 4.19로, 우이동, 강북구, 서울, 01021, 대한민국"
3062,국립4.19민주묘지,37.64696013161314,127.0090538913015,"국립419묘지, 4.19로, 우이동, 강북구, 서울, 01021, 대한민국"
3063,강북중학교,37.64482077941266,127.02358747279752,"노해로, 수유2동, 강북구, 서울, 01450, 대한민국"
3064,한성운수차고지,37.63420908131025,127.03707532189765,"한천로, 번동, 강북구, 서울, 01067, 대한민국"
3065,광산사거리,37.64262219021693,127.02310130030304,"한천로, 수유3동, 강북구, 서울, 01064, 대한민국"
3066,광산사거리,37.64390196641296,127.02298596330417,"노해로, 수유2동, 강북구, 서울, 01450, 대한민국"
3067,수유중앙시장,37.64035640291685,127.02268390610163,"노해로, 수유3동, 강북구, 서울, 01065, 대한민국"
3068,대한병원,37.636970993917046,127.02305854519852,"대한병원, 노해로, 수유동, 강북구, 서울, 01065, 대한민국"
3069,삼성화재강북지점,37.63555277321621,127.02485497939573,"오패산로67길, 번1동, 강북구, 서울, 01130, 대한민국"
3070,강북구청사거리,37.63890941691052,127.02840224590211,"한천로, 번1동, 강북구, 서울, 01064, 대한민국"
3071,강북구청사거리,37.63893894511146,127.02857389279868,"강북구청사거리, 한천로, 번동, 강북구, 서울, 01064, 대한민국"
3072,수송초등학교,37.63692730751406,127.03151985359824,"수송초등학교, 한천로, 번동, 강북구, 서울, 01064, 대한민국"
3073,수송초등학교,37.63697148461554,127.03166565590377,"한천로, 번1동, 강북구, 서울, 01067, 대한민국"
3074,수유중학교혜화여고,37.63192820831104,127.01363586540032,"수유중학교혜화여고, 인수봉로, 수유1동, 강북구, 서울, 01100, 대한민국"
3075,혜화여고,37.63162193661311,127.01375262770335,"혜화여고, 인수봉로, 수유1동, 강북구, 서울, 01100, 대한민국"
3076,서울정인학교,37.62922847450951,127.01295639659882,"서울정인학교, 인수봉로, 수유1동, 강북구, 서울, 01100, 대한민국"
3077,우광타운,37.62917997821344,127.01301822529884,"서울정인학교, 인수봉로, 수유1동, 강북구, 서울, 01100, 대한민국"
3078,구세군강북종합사회복지관입구,37.62477604391558,127.01241067879532,"구세군강북종합사회복지관입구, 인수봉로, 삼양동, 강북구, 서울, 01190, 대한민국"
3079,구세군강북종합사회복지관입구,37.62488250820848,127.01247749410147,"구세군강북종합사회복지관입구, 인수봉로, 삼양동, 강북구, 서울, 01190, 대한민국"
3080,미양중고등학교.팔팔·미송경로당,37.62297720321366,127.01324790969582,"미아동경로당, 인수봉로, 삼양동, 강북구, 서울, 01190, 대한민국"
